wav_filename,wav_filesize,transcript
Z054Vm_060_17.wav,70086,rodyk rezultatus
Z054Vm_060_18.wav,79606,rodyk skyriaus turinį
Z054Vm_060_19.wav,62606,rodyk turinį
Z054Vm_066_03.wav,2054454,  protistai   pulsuojančioji vakuolė  ribosomos   rodyk   rodyk rezultatus   rodyk skyriaus turinį    rodyk teisingą atsakymą    rodyk turinį   rodyk veiklų sąrašą    sandara   
Z055Vm_060_13.wav,54412,rodyk veiklų sąrašą
Z055Vm_060_16.wav,59990,rodyk teisingą atsakymą
Z055Vm_060_17.wav,50916,rodyk rezultatus
Z055Vm_060_18.wav,52312,rodyk skyriaus turinį
Z055Vm_060_19.wav,39306,rodyk turinį
Z056Ml_028_02.wav,2045484,  rodyk failų tvarkytuvę    rodyk išklotines   rodyk išsamią informaciją   rodyk komandas   rodyk leistuvę   rodyk mažas piktogramas   rodyk padidintas piktogramas   rodyk paštą   rodyk pašto programą    rodyk pateikčių rengyklę   
Z056Ml_028_03.wav,2398954,  rodyk rašyklę   rodyk savybės   rodyk sąrašą   rodyk skaičiuoklę   rodyk tolesnį laišką     rodyk tolesnį neskaitytą laišką   rodyk turinį   rodyk vidutines piktogramas     rodyk visame ekrane    septinta funkcija 
Z056Ml_032_04.wav,2072364,  pramogos   rodyk visame ekrane   slink aukštyn    slink dešinėn   slink į kairę   slink kairėn   slink žemyn   spausdink tinklalapį   stabdyk   stabdyk atsiuntimą 
Z056Ml_060_13.wav,61864,rodyk veiklų sąrašą
Z056Ml_060_16.wav,71142,rodyk teisingą atsakymą
Z056Ml_060_17.wav,50610,rodyk rezultatus
Z056Ml_060_18.wav,64994,rodyk skyriaus turinį
Z056Ml_060_19.wav,47058,rodyk turinį
Z056Ml_066_03.wav,1921324,  protistai   pulsuojančioji vakuolė   ribosomos  rodyk   rodyk rezultatus   rodyk skyriaus turinį   rodyk teisingą atsakymą   rodyk turinį  rodyk veiklų sąrašą  sandara 
Z057Ml_060_13.wav,63558,rodyk veiklų sąrašą
Z057Ml_060_16.wav,65854,rodyk teisingą atsakymą
Z057Ml_060_17.wav,55842,rodyk rezultatus
Z057Ml_060_18.wav,60706,rodyk skyriaus turinį
Z057Ml_060_19.wav,41156,rodyk turinį
Z058Ml_060_13.wav,69718,rodyk veiklų sąrašą
Z058Ml_060_16.wav,75146,rodyk teisingą atsakymą
Z058Ml_060_17.wav,60592,rodyk rezultatus
Z058Ml_060_18.wav,61602,rodyk skyriaus turinį
Z058Ml_060_19.wav,46130,rodyk turinį
Z059Ml_060_13.wav,65440,rodyk veiklų sąrašą
Z059Ml_060_16.wav,69450,rodyk teisingą atsakymą
Z059Ml_060_17.wav,58242,rodyk rezultatus
Z059Ml_060_18.wav,59580,rodyk skyriaus turinį
Z059Ml_060_19.wav,42716,rodyk turinį
Z060Ml_060_13.wav,64754,rodyk veiklų sąrašą
Z060Ml_060_16.wav,72408,rodyk teisingą atsakymą
Z060Ml_060_17.wav,54770,rodyk rezultatus
Z060Ml_060_18.wav,68224,rodyk skyriaus turinį
Z060Ml_060_19.wav,53526,rodyk turinį
Z061Ml_060_13.wav,71712,rodyk veiklų sąrašą
Z061Ml_060_16.wav,77014,rodyk teisingą atsakymą
Z061Ml_060_17.wav,62364,rodyk rezultatus
Z061Ml_060_18.wav,67828,rodyk skyriaus turinį
Z061Ml_060_19.wav,50156,rodyk turinį
Z062Mk_060_13.wav,105096,rodyk veiklų sąrašą
Z062Mk_060_16.wav,99120,rodyk teisingą atsakymą
Z062Mk_060_17.wav,82450,rodyk rezultatus
Z062Mk_060_18.wav,104152,rodyk skyriaus turinį
Z062Mk_060_19.wav,55716,rodyk turinį
Z063Vk_060_13.wav,90938,rodyk veiklų sąrašą
Z063Vk_060_16.wav,81330,rodyk teisingą atsakymą
Z063Vk_060_17.wav,76650,rodyk rezultatus
Z063Vk_060_18.wav,79852,rodyk skyriaus turinį
Z063Vk_060_19.wav,63842,rodyk turinį
Z064Mk_060_13.wav,84008,rodyk veiklų sąrašą
Z064Mk_060_16.wav,87450,rodyk teisingą atsakymą
Z064Mk_060_17.wav,79880,rodyk rezultatus
Z064Mk_060_18.wav,87452,rodyk skyriaus turinį
Z064Mk_060_19.wav,72310,rodyk turinį
Z065Ml_060_13.wav,88656,rodyk veiklų sąrašą
Z065Ml_060_16.wav,83732,rodyk teisingą atsakymą
Z065Ml_060_17.wav,68868,rodyk rezultatus
Z065Ml_060_18.wav,82830,rodyk skyriaus turinį
Z065Ml_060_19.wav,60492,rodyk turinį
Z066Vl_060_13.wav,80860,rodyk veiklų sąrašą
Z066Vl_060_16.wav,89838,rodyk teisingą atsakymą
Z066Vl_060_17.wav,72520,rodyk rezultatus
Z066Vl_060_18.wav,79576,rodyk skyriaus turinį
Z066Vl_060_19.wav,57128,rodyk turinį
Z067Ml_060_13.wav,58494,rodyk veiklų sąrašą
Z067Ml_060_16.wav,69542,rodyk teisingą atsakymą
Z067Ml_060_17.wav,56194,rodyk rezultatus
Z067Ml_060_18.wav,62176,rodyk skyriaus turinį
Z067Ml_060_19.wav,44228,rodyk turinį
Z068Ml_060_13.wav,67630,rodyk veiklų sąrašą
Z068Ml_060_16.wav,76608,rodyk teisingą atsakymą
Z068Ml_060_17.wav,65518,rodyk rezultatus
Z068Ml_060_18.wav,63936,rodyk skyriaus turinį
Z068Ml_060_19.wav,45454,rodyk turinį
Z069Mj_060_13.wav,65740,rodyk veiklų sąrašą
Z069Mj_060_16.wav,69150,rodyk teisingą atsakymą
Z069Mj_060_17.wav,53346,rodyk rezultatus
Z069Mj_060_18.wav,59064,rodyk skyriaus turinį
Z069Mj_060_19.wav,39118,rodyk turinį
Z070Ml_060_13.wav,62478,rodyk veiklų sąrašą
Z070Ml_060_16.wav,74568,rodyk teisingą atsakymą
Z070Ml_060_17.wav,53048,rodyk rezultatus
Z070Ml_060_18.wav,58892,rodyk skyriaus turinį
Z070Ml_060_19.wav,43484,rodyk turinį
Z071Vl_060_13.wav,62922,rodyk veiklų sąrašą
Z071Vl_060_16.wav,63428,rodyk teisingą atsakymą
Z071Vl_060_17.wav,47380,rodyk rezultatus
Z071Vl_060_18.wav,51138,rodyk skyriaus turinį
Z071Vl_060_19.wav,41792,rodyk turinį
Z073Mk_060_13.wav,66962,rodyk veiklų sąrašą
Z073Mk_060_16.wav,75918,rodyk teisingą atsakimą
Z073Mk_060_17.wav,54528,rodyk rezultatus
Z075Mk_060_13.wav,64634,rodyk veiklų sąrašą
Z075Mk_060_16.wav,61644,rodyk teisingą atsakymą
Z075Mk_060_17.wav,49134,rodyk rezultatus
Z075Mk_060_18.wav,57992,rodyk skyriaus turinį
Z075Mk_060_19.wav,43010,rodyk turinį
Z076Mk_060_13.wav,65566,rodyk veiklų sąrašą
Z076Mk_060_19.wav,40096,rodyk turini
Z077Ml_060_13.wav,78838,rodyk veiklų sąrašą
Z077Ml_060_16.wav,85022,rodyk teisingą atsakymą
Z077Ml_060_17.wav,70640,rodyk rezultatus
Z077Ml_060_18.wav,67278,rodyk skyriaus turinį
Z077Ml_060_19.wav,54392,rodyk turinį
Z078Mj_060_13.wav,72416,rodyk veiklų sąrašą
Z079Mm_028_02.wav,2193324,  rodyk failų tvarkytuvę    rodyk išklotines   rodyk išsamią informaciją   rodyk komandas   rodyk leistuvę    rodyk mažas piktogramas   rodyk padidintas piktogramas    rodyk paštą    rodyk pašto programą   rodyk pateikčių rengyklę  
Z079Mm_028_03.wav,2140910,  rodyk rašyklę   rodyk savybės   rodyk sąrašą   rodyk skaičiuoklę    rodyk tolesnį laišką   rodyk tolesnį neskaitytą laišką    rodyk turinį    rodyk vidutines piktogramas    rodyk visame ekrane    septinta funkcija  
Z079Mm_032_04.wav,1874830, pramogos    rodyk visame ekrane    slink aukštyn    slink dešinėn   slink į kairę    slink kairėn    slink žemyn    spausdink tinklalapį  kvepimas  stabdyk    stabdyk atsiuntimą     
Z079Mm_060_13.wav,97694,rodyk veiklų sąrašą
Z079Mm_060_16.wav,108368,rodyk teisingą atsakymą
Z079Mm_060_17.wav,94194,rodyk rezultatus
Z079Mm_060_18.wav,96818,rodyk skyriaus turinį
Z079Mm_060_19.wav,76344,rodyk turinį
Z080Mm_060_13.wav,88434,rodyk veiklų sąrašą
Z080Mm_060_16.wav,93376,rodyk teisingą atsakymą
Z080Mm_060_17.wav,72548,rodyk rezultatus
Z080Mm_060_18.wav,74550,rodyk skyriaus turinį
Z080Mm_060_19.wav,62398,rodyk turinį
Z081Mn_060_13.wav,77282,rodyk veiklų sąrašą
Z081Mn_060_16.wav,85444,rodyk teisingą atsakymą
Z081Mn_060_17.wav,71124,rodyk rezultatus
Z081Mn_060_18.wav,84394,rodyk skyriaus turinį
Z081Mn_060_19.wav,58774,rodyk turinį
Z082Mm_060_13.wav,85110,rodyk veiklų sąrašą
Z082Mm_060_16.wav,81480,rodyk teisingą atsakymą
Z082Mm_060_17.wav,77290,rodyk rezultatus
Z082Mm_060_18.wav,72540,rodyk skyriaus turinį
Z082Mm_060_19.wav,57454,rodyk turinį
Z083Ml_060_13.wav,91958,rodyk veiklų sąrašą
Z083Ml_060_16.wav,95734,rodyk teisingą atsakymą
Z083Ml_060_17.wav,84404,rodyk rezultatus
Z083Ml_060_18.wav,85302,rodyk skyriaus turinį
Z083Ml_060_19.wav,77208,rodyk turinį
Z084Ml_060_13.wav,75812,rodyk veiklų sąrašą
Z084Ml_060_16.wav,83452,rodyk teisingą atsakymą
Z084Ml_060_17.wav,67682,rodyk rezultatus
Z084Ml_060_18.wav,80742,rodyk skyriaus turinį
Z084Ml_060_19.wav,62754,rodyk turinį
Z085Ml_060_13.wav,92960,rodyk veiklų sąrašą
Z085Ml_060_16.wav,97350,rodyk teisingą atsakymą
Z085Ml_060_17.wav,84180,rodyk rezultatus
Z085Ml_060_18.wav,98080,rodyk skyriaus turinį
Z085Ml_060_19.wav,76134,rodyk turinį
Z086Ml_060_13.wav,82452,rodyk veiklų sąrašą
Z086Ml_060_16.wav,98762,rodyk teisingą atsakymą
Z086Ml_060_17.wav,79020,rodyk rezultatus
Z086Ml_060_18.wav,88462,rodyk skyriaus turinį
Z086Ml_060_19.wav,65284,rodyk turinį
Z087Ml_060_13.wav,79572,rodyk veiklų sąrašą
Z087Ml_060_16.wav,89570,rodyk teisingą atsakymą
Z087Ml_060_17.wav,67758,rodyk rezultatus
Z087Ml_060_18.wav,77754,rodyk skyriaus turinį
Z087Ml_060_19.wav,55032,rodyk turinį
Z088Ml_060_13.wav,105002,rodyk veiklų sąrašą
Z088Ml_060_16.wav,99478,rodyk teisingą atsakymą
Z088Ml_060_17.wav,82906,rodyk rezultatus
Z088Ml_060_18.wav,103426,rodyk skyriaus turinį
Z088Ml_060_19.wav,72648,rodyk turinį
Z089Ml_060_13.wav,92570,rodyk veiklų sąrašą
Z089Ml_060_16.wav,91812,rodyk teisingą atsakymą
Z089Ml_060_17.wav,72850,rodyk rezultatus
Z089Ml_060_18.wav,87262,rodyk skyriaus turinį
Z089Ml_060_19.wav,67542,rodyk turinį
Z090Ml_060_13.wav,95298,rodyk veiklų sąrašą
Z090Ml_060_16.wav,103238,rodyk teisingą atsakymą
Z090Ml_060_17.wav,77042,rodyk rezultatus
Z090Ml_060_18.wav,90536,rodyk skyriaus turinį
Z090Ml_060_19.wav,72280,rodyk turinį
Z091Ml_060_13.wav,67992,rodyk veiklų sąrašą
Z091Ml_060_16.wav,72022,rodyk teisingą atsakymą
Z091Ml_060_17.wav,66842,rodyk rezultatus
Z091Ml_060_18.wav,62810,rodyk skyriaus turinį
Z091Ml_060_19.wav,44382,rodyk turinį
Z092Ml_060_13.wav,80692,rodyk veiklų sąrašą
Z092Ml_060_16.wav,91050,rodyk teisingą atsakymą
Z092Ml_060_17.wav,69594,rodyk rezultatus
Z092Ml_060_18.wav,81432,rodyk skyriaus turinį
Z092Ml_060_19.wav,63674,rodyk turinį
Z093Ml_060_13.wav,74524,rodyk veiklų sąrašą
Z093Ml_060_16.wav,82932,rodyk teisingą atsakymą
Z093Ml_060_17.wav,67316,rodyk rezultatus
Z093Ml_060_18.wav,67916,rodyk skyriaus turinį
Z093Ml_060_19.wav,51098,rodyk turinį
Z094Ml_060_13.wav,79238,rodyk veiklų sąrašą
Z094Ml_060_16.wav,101802,rodyk teisingą atsakymą
Z094Ml_060_17.wav,87412,rodyk rezultatus
Z094Ml_060_18.wav,91728,rodyk skyriaus turinį
Z094Ml_060_19.wav,77750,rodyk turinį
Z095Ml_060_13.wav,95168,rodyk veiklų sąrašą
Z095Ml_060_16.wav,97768,rodyk teisingą atsakymą
Z095Ml_060_17.wav,85498,rodyk rezultatus
Z095Ml_060_18.wav,83188,rodyk skyriaus turinį
Z095Ml_060_19.wav,71206,rodyk turinį
Z096Ml_060_13.wav,101914,rodyk veiklų sąrašą
Z096Ml_060_16.wav,98850,rodyk teisingą atsakymą
Z096Ml_060_17.wav,84298,rodyk rezultatus
Z096Ml_060_18.wav,87554,rodyk skyriaus turinį
Z096Ml_060_19.wav,69554,rodyk turinį
Z097Ml_060_13.wav,121708,rodyk veiklų sąrašą
Z097Ml_060_16.wav,122012,rodyk teisingą atsakymą
Z097Ml_060_17.wav,109570,rodyk rezultatus
Z097Ml_060_18.wav,113266,rodyk skyriaus turinį
Z097Ml_060_19.wav,96520,rodyk turinį
Z098Ml_060_13.wav,151920,rodyk veiklų sąrašą
Z098Ml_060_16.wav,139882,rodyk teisingą atsakymą
Z098Ml_060_17.wav,131238,rodyk rezultatus
Z098Ml_060_18.wav,140808,rodyk skyriaus turinį
Z098Ml_060_19.wav,118274,rodyk turinį
Z099Ml_060_13.wav,130758,rodyk veiklų sąrašą
Z099Ml_060_16.wav,145310,rodyk teisingą atsakymą
Z099Ml_060_17.wav,126242,rodyk rezultatus
Z099Ml_060_18.wav,139038,rodyk skyriaus turinį
Z099Ml_060_19.wav,111940,rodyk turinį
Z100Ml_060_13.wav,101576,rodyk veiklų sąrašą
Z100Ml_060_16.wav,108506,rodyk teisingą atsakymą
Z100Ml_060_17.wav,90940,rodyk rezultatus
Z100Ml_060_18.wav,105446,rodyk skyriaus turinį
Z100Ml_060_19.wav,80142,rodyk turinį
Z101Ml_060_13.wav,108642,rodyk veiklų sąrašą
Z101Ml_060_16.wav,127422,rodyk teisingą atsakymą
Z101Ml_060_17.wav,102788,rodyk rezultatus
Z101Ml_060_18.wav,105592,rodyk skyriaus turinį
Z101Ml_060_19.wav,91972,rodyk turinį
Z102Ml_060_13.wav,144982,rodyk veiklų sąrašą
Z102Ml_060_16.wav,115322,rodyk teisingą atsakymą
Z102Ml_060_17.wav,98828,rodyk rezultatus
Z102Ml_060_18.wav,110874,rodyk skyriaus turinį
Z102Ml_060_19.wav,94008,rodyk turinį
Z103Ml_060_16.wav,143310,rodyk teisingą atsakymą
Z103Ml_060_17.wav,118858,rodyk rezultatus
Z103Ml_060_18.wav,129516,rodyk skyriaus turinį
Z103Ml_060_19.wav,103496,rodyk turinį
Z104Ml_060_13.wav,119696,rodyk veiklų sąrašą
Z104Ml_060_16.wav,123834,rodyk teisingą atsakymą
Z104Ml_060_17.wav,115240,rodyk rezultatus
Z104Ml_060_18.wav,122562,rodyk skyriaus turinį
Z104Ml_060_19.wav,95194,rodyk turinį
Z105Ml_060_13.wav,91574,rodyk veiklų sąrašą
Z105Ml_060_16.wav,96526,rodyk teisingą atsakymą
Z105Ml_060_17.wav,82312,rodyk rezultatus
Z105Ml_060_18.wav,89420,rodyk skyriaus turinį
Z105Ml_060_19.wav,69176,rodyk turinį
Z106Ml_060_13.wav,79178,rodyk veiklų sąrašą
Z106Ml_060_16.wav,104560,rodyk teisingą atsakymą
Z106Ml_060_17.wav,73844,rodyk rezultatus
Z106Ml_060_18.wav,87710,rodyk skyriaus turinį
Z106Ml_060_19.wav,83658,rodyk turinį
Z107Ml_060_13.wav,125858,rodyk veiklų sąrašą
Z107Ml_060_16.wav,128928,rodyk teisingą atsakymą
Z107Ml_060_17.wav,114198,rodyk rezultatus
Z107Ml_060_18.wav,121256,rodyk skyriaus turinį
Z107Ml_060_19.wav,103458,rodyk turinį
Z108Ml_060_13.wav,122948,rodyk veiklų sąrašą
Z108Ml_060_16.wav,119306,rodyk teisingą atsakymą
Z108Ml_060_17.wav,108078,rodyk rezultatus
Z108Ml_060_18.wav,117182,rodyk skyriaus turinį
Z108Ml_060_19.wav,83194,rodyk turinį
Z109Ml_060_13.wav,94126,rodyk veiklų sąrašą
Z109Ml_060_16.wav,97738,rodyk teisingą atsakymą
Z109Ml_060_17.wav,87230,rodyk rezultatus
Z109Ml_060_18.wav,89200,rodyk skyriaus turinį
Z109Ml_060_19.wav,63586,rodyk turinį
Z110Ml_060_13.wav,129098,rodyk veiklų sąrašą
Z110Ml_060_16.wav,120980,rodyk teisingą atsakymą
Z110Ml_060_17.wav,107994,rodyk rezultatus
Z110Ml_060_18.wav,115706,rodyk skyriaus turinį
Z110Ml_060_19.wav,96226,rodyk turinį
Z111Mk_021_54.wav,62728,puslapiu žemyn
Z111Mk_023_168.wav,74840,rodyk visame ekrane
Z111Mk_024_181.wav,107712,atverk administratoriaus teisėmis
Z112Mk_021_54.wav,68068,puslapiu žemyn
Z112Mk_022_73.wav,73282,atverk dokumentą
Z112Mk_022_94.wav,67280,atverk laišką
Z112Mk_023_141.wav,88556,įjunk kairinę lygiuotę
Z112Mk_023_144.wav,80106,įjunk kursyvų šriftą
Z112Mk_023_147.wav,89446,įjunk teksto pabraukimą
Z112Mk_023_154.wav,61870,atverk failą
Z112Mk_023_165.wav,98786,įjunk atsitiktinį grojimą
Z112Mk_023_168.wav,80550,rodyk visame ekrane
Z112Mk_024_176.wav,56432,atverk diską
Z112Mk_024_177.wav,78154,atverk aplanką
Z112Mk_024_181.wav,112404,atverk administratoriaus teisėmis
Z113Mm_021_54.wav,60052,puslapiu žemyn
Z113Mm_022_73.wav,80724,atverk dokumentą
Z113Mm_022_81.wav,94410,įjunk spaudinio peržiūrą
Z113Mm_022_82.wav,101614,išjunk spaudinio peržiūrą
Z113Mm_022_94.wav,77842,atverk laišką
Z113Mm_023_129.wav,94336,įjunk pusjuodį šriftą
Z113Mm_023_130.wav,97618,išjunk pusjuodį šriftą
Z113Mm_023_132.wav,87188,įjunk abipusę lygiuotę
Z113Mm_023_133.wav,96458,išjunk abipusę lygiuotę
Z113Mm_023_135.wav,91358,įjunk centrinę lygiuotę
